valid_time,dswrf,vbdsf,vddsf
2022-01-05 10:00:00,0.0,0.0,0.0
2022-01-05 09:00:00,0.0,0.0,0.0
2022-01-05 08:00:00,0.0,0.0,0.0
2022-01-05 12:00:00,0.0,0.0,0.0
2022-01-05 11:00:00,0.0,0.0,0.0
2022-01-05 13:00:00,0.0,0.0,0.0
2022-01-05 06:00:00,0.0,0.0,0.0
2022-01-06 05:00:00,0.0,0.0,0.0
2022-01-05 14:00:00,0.0,0.0,0.0
2022-01-05 15:00:00,40.5,0.0,40.5
2022-01-06 04:00:00,0.0,0.0,0.0
2022-01-05 16:00:00,93.30000305175781,0.0,93.30000305175781
2022-01-05 17:00:00,113.5,0.0,113.5
2022-01-05 18:00:00,325.79998779296875,0.0,325.79998779296875
2022-01-05 19:00:00,401.5,1.0,401.1000061035156
2022-01-05 20:00:00,186.5,0.0,186.5
2022-01-05 21:00:00,199.5,0.0,199.5
2022-01-06 00:00:00,0.0,0.0,0.0
2022-01-06 01:00:00,0.0,0.0,0.0
2022-01-06 03:00:00,0.0,0.0,0.0
2022-01-06 23:00:00,150.10000610351562,737.0,35.70000076293945
2022-01-07 00:00:00,0.0,0.0,0.0
2022-01-07 01:00:00,0.0,0.0,-0.06722793728113174
2022-01-07 02:00:00,0.0,0.0,0.0
2022-01-06 07:00:00,0.0,0.0,0.0
2022-01-06 13:00:00,0.0,0.0,0.0
2022-01-06 10:00:00,0.0,0.0,0.0
2022-01-06 09:00:00,0.0,0.0,0.0
2022-01-06 08:00:00,0.0,0.0,0.0
2022-01-06 12:00:00,0.0,0.0,0.0
2022-01-06 06:00:00,0.0,0.0,0.0
2022-01-06 11:00:00,0.0,0.0,0.0
2022-01-07 03:00:00,0.0,0.0,0.0
2022-01-07 04:00:00,0.0,0.0,0.0
2022-01-07 05:00:00,0.0,0.0,0.0
2022-01-06 14:00:00,0.0,0.0,0.0
2022-01-06 15:00:00,27.600000381469727,0.0,27.600000381469727
2022-01-06 17:00:00,146.3000030517578,0.0,146.3000030517578
2022-01-06 16:00:00,87.0,0.0,87.0
2022-01-06 18:00:00,152.6999969482422,0.0,152.6999969482422
2022-01-06 19:00:00,305.8999938964844,0.0,305.8999938964844
2022-01-06 20:00:00,289.0,0.0,289.0
2022-01-06 21:00:00,466.8999938964844,921.0,96.0999984741211
2022-01-06 22:00:00,323.3999938964844,921.0,49.79999923706055
2022-01-07 22:00:00,334.29998779296875,950.0,50.5
2022-01-07 23:00:00,156.60000610351562,760.0,36.20000076293945
2022-01-08 00:00:00,0.0,0.0,0.0
2022-01-08 04:00:00,0.0,0.0,0.0
2022-01-07 10:00:00,0.0,0.0,0.0
2022-01-07 08:00:00,0.0,0.0,0.0
2022-01-07 12:00:00,0.0,0.0,0.0
2022-01-07 11:00:00,0.0,0.0,0.0
2022-01-07 09:00:00,0.0,0.0,0.0
2022-01-07 07:00:00,0.0,0.0,0.0
2022-01-07 13:00:00,0.0,0.0,0.0
2022-01-07 06:00:00,0.0,0.0,0.0
2022-01-08 01:00:00,0.0,0.0,0.0
2022-01-08 02:00:00,0.0,0.0,0.0
2022-01-08 05:00:00,0.0,0.0,0.0
2022-01-07 14:00:00,0.0,0.0,0.0
2022-01-07 15:00:00,58.599998474121094,302.0,33.5
2022-01-07 16:00:00,251.0,812.0,57.29999923706055
2022-01-07 17:00:00,409.0,970.0,58.400001525878906
2022-01-07 18:00:00,520.5,976.0,87.4000015258789
2022-01-07 19:00:00,512.5,358.0,340.8999938964844
2022-01-07 20:00:00,547.0999755859375,1039.0,62.70000076293945
2022-01-07 21:00:00,468.79998779296875,1013.0,58.599998474121094
2022-01-08 03:00:00,0.0,0.0,0.0
2022-01-08 22:00:00,224.6999969482422,7.0,222.6999969482422
2022-01-09 02:00:00,0.0,0.0,0.0
2022-01-08 11:00:00,0.0,0.0,0.0
2022-01-08 08:00:00,0.0,0.0,0.0
2022-01-08 12:00:00,0.0,0.0,0.0
2022-01-08 13:00:00,0.0,0.0,0.0
2022-01-08 10:00:00,0.0,0.0,0.0
2022-01-08 06:00:00,0.0,0.0,0.0
2022-01-08 07:00:00,0.0,0.0,0.0
